2019-03-20 11:22:11,4*4,player.Computer,player.Human,5 to 11
2019-03-20 11:29:48,4*4,player.Computer,player.Human,player.Human Gave Up
2019-03-20 11:30:49,4*4,player.Computer,player.Human,2 to 11
2019-03-20 11:31:22,4*4,player.Human,player.Computer,player.Human Gave Up
2019-03-20 11:31:52,4*4,player.Human,player.Computer,7 to 9
2019-03-20 11:32:39,10*10,player.Human,player.Computer,0 to 18
2019-03-23 17:07:15,4*4,player.Computer,player.Human,player.Human Gave Up
2019-03-23 17:07:45,4*4,player.Computer,player.Human,14 to 0
2019-03-23 17:10:46,4*4,player.Computer,player.Human,14 to 0
2019-03-23 17:11:17,4*4,player.Human,player.Computer,player.Human Gave Up
2019-03-23 17:11:48,4*4,player.Human,player.Computer,7 to 9
2019-03-23 17:12:37,10*10,player.Human,player.Computer,player.Human Gave Up
2019-03-23 17:13:13,10*10,player.Human,player.Computer,0 to 18
